studlab,nct,treat1,treat2,scale,effect_native,lci_native,uci_native,te_for_netmeta,seTE_for_netmeta
VOYAGE 1,NCT02207231,Guselkumab,Placebo,OR,86.76,34.66,217.14,4.463145686,0.4681010262
UltIMMa-1,NCT02684370,Risankizumab,Placebo,OR,74.83,26.21,213.6,4.3152188741,0.5351949209
UNCOVER-1,NCT01474512,Ixekizumab,Placebo,OR,252.18,62.66,1014.79,5.5301431182,0.7103861449
UNCOVER-2,NCT01597245,Ixekizumab,Etanercept,OR,5.26,3.83,7.22,1.6601310267,0.161732181
UNCOVER-3,NCT01646177,Ixekizumab,Placebo,OR,63.64,25.44,159.19,4.1532422035,0.4677999283
ERASURE,NCT01365455,Secukinumab,Placebo,OR,314.11,76.61,1287.94,5.749743243,0.7199162513
FIXTURE,NCT01358578,Secukinumab,Etanercept,OR,6.38,4.61,8.82,1.8531680974,0.1655086768
BE RADIANT,NCT03536884,Bimekizumab,Secukinumab,OR,1.55,0.98,2.45,0.4382549309,0.2337476357
BE VIVID,NCT03370133,Bimekizumab,Placebo,OR,88.6,33.74,232.7,4.4841318576,0.4926188758
BE SURE,NCT03412747,Bimekizumab,Adalimumab,OR,3.99,2.68,5.94,1.3837912309,0.2030337599
