file,n_treat,n_rd,n_cfg,intersection,phantoms,extras,action
ACS_ANTIPLATELET_NMA_REVIEW.html,5,4,4,0,4,4,DEMOTE_NO_OVERLAP
ADC_HER2_NMA_REVIEW.html,5,4,4,4,0,0,OK
ANTI_CD20_MS_NMA_REVIEW.html,6,6,5,0,5,6,DEMOTE_NO_OVERLAP
ANTIAMYLOID_AD_NMA_REVIEW.html,6,7,7,7,0,0,OK
ANTIPSYCHOTICS_SCHIZO_NMA_REVIEW.html,9,0,0,0,0,0,DEMOTE_NO_OVERLAP
ANTIVEGF_NAMD_NMA_REVIEW.html,8,10,10,10,0,0,OK
ATOPIC_DERM_NMA_REVIEW.html,8,7,7,7,0,0,OK
BTKI_CLL_NMA_REVIEW.html,8,7,7,7,0,0,OK
CARDIORENAL_DKD_NMA_REVIEW.html,6,6,6,6,0,0,OK
CD_BIOLOGICS_NMA_REVIEW.html,8,5,5,5,0,0,OK
CFTR_MODULATORS_NMA_REVIEW.html,4,3,3,3,0,0,OK
CGRP_MIGRAINE_NMA_REVIEW.html,5,4,4,4,0,0,OK
CRYPTOCOCCAL_MENINGITIS_AFRICA_NMA_REVIEW.html,4,1,6,0,6,1,DEMOTE_NO_OVERLAP
DIABETIC_MACULAR_EDEMA_NMA_REVIEW.html,4,3,6,0,6,3,DEMOTE_NO_OVERLAP
DIABETIC_RETINOPATHY_NMA_REVIEW.html,4,3,6,0,6,3,DEMOTE_NO_OVERLAP
DOAC_AF_NMA_REVIEW.html,5,4,4,4,0,0,OK
DOAC_VTE_NMA_REVIEW.html,5,4,4,4,0,0,OK
GLP1_CVOT_NMA_REVIEW.html,9,8,8,8,0,0,OK
GLP1_MASH_NMA_REVIEW.html,11,3,17,0,17,3,DEMOTE_NO_OVERLAP
HEMOPHILIA_GENE_THERAPY_NMA_REVIEW.html,4,3,6,0,6,3,DEMOTE_NO_OVERLAP
HF_QUADRUPLE_NMA_REVIEW.html,4,6,6,4,2,2,COMPLEX
HIDRADENITIS_SUPPURATIVA_NMA_REVIEW.html,4,3,6,0,6,3,DEMOTE_NO_OVERLAP
HIV_ART_TIMING_NMA_REVIEW.html,4,3,6,0,6,3,DEMOTE_NO_OVERLAP
HIV_PREP_INJECTABLE_NMA_REVIEW.html,4,3,6,0,6,3,DEMOTE_NO_OVERLAP
HIV_TB_COINFECTION_ART_TIMING_NMA_REVIEW.html,4,3,6,0,6,3,DEMOTE_NO_OVERLAP
HPV_VACCINE_SCHEDULES_NMA_REVIEW.html,4,3,6,0,6,3,DEMOTE_NO_OVERLAP
HYDROCORTISONE_SEPTIC_SHOCK_NMA_REVIEW.html,4,3,6,0,6,3,DEMOTE_NO_OVERLAP
ICU_SEDATION_NMA_REVIEW.html,4,3,6,0,6,3,DEMOTE_NO_OVERLAP
IL_PSORIASIS_NMA_REVIEW.html,11,18,18,18,0,0,OK
INCRETINS_T2D_NMA_REVIEW.html,11,17,17,17,0,0,OK
JAKI_RA_NMA_REVIEW.html,6,4,5,4,1,0,PRUNE_PHANTOMS
MALARIA_VACCINE_NMA_REVIEW.html,4,3,6,0,6,3,DEMOTE_NO_OVERLAP
MDR_TB_SHORTENED_NMA_REVIEW.html,4,3,6,0,6,3,DEMOTE_NO_OVERLAP
MEDITERRANEAN_DIET_CV_NMA_REVIEW.html,4,1,6,0,6,1,DEMOTE_NO_OVERLAP
MIGRAINE_ACUTE_NMA_REVIEW.html,5,4,4,0,4,4,DEMOTE_NO_OVERLAP
OBESITY_DRUGS_NMA_REVIEW.html,11,3,17,0,17,3,DEMOTE_NO_OVERLAP
PAH_THERAPY_NMA_REVIEW.html,6,4,6,0,6,4,DEMOTE_NO_OVERLAP
PCSK9_LIPID_NMA_REVIEW.html,5,4,4,4,0,0,OK
PEDIATRIC_HIV_ART_NMA_REVIEW.html,4,1,6,0,6,1,DEMOTE_NO_OVERLAP
PHYSICAL_REHAB_OLDER_NMA_REVIEW.html,4,3,6,0,6,3,DEMOTE_NO_OVERLAP
POLYCYTHEMIA_VERA_NMA_REVIEW.html,4,3,6,0,6,3,DEMOTE_NO_OVERLAP
POSTPARTUM_HEMORRHAGE_NMA_REVIEW.html,4,1,6,0,6,1,DEMOTE_NO_OVERLAP
PSA_BIOLOGICS_NMA_REVIEW.html,6,4,5,0,5,4,DEMOTE_NO_OVERLAP
ROTAVIRUS_VACCINE_AFRICA_NMA_REVIEW.html,4,3,6,0,6,3,DEMOTE_NO_OVERLAP
SEPSIS_RESUSCITATION_NMA_REVIEW.html,4,3,6,0,6,3,DEMOTE_NO_OVERLAP
SEVERE_ASTHMA_NMA_REVIEW.html,6,5,5,5,0,0,OK
SEVERE_PEDIATRIC_FEBRILE_AFRICA_NMA_REVIEW.html,4,0,6,0,6,0,DEMOTE_NO_OVERLAP
SGLT2I_HF_NMA_REVIEW.html,4,6,6,6,0,0,OK
SPONDYLOARTHRITIS_NMA_REVIEW.html,6,4,5,0,5,4,DEMOTE_NO_OVERLAP
TB_PREVENTION_NMA_REVIEW.html,4,3,6,0,6,3,DEMOTE_NO_OVERLAP
UC_BIOLOGICS_NMA_REVIEW.html,10,9,9,9,0,0,OK
VITAMIN_D_FRACTURE_FALL_NMA_REVIEW.html,4,1,6,0,6,1,DEMOTE_NO_OVERLAP
VITILIGO_NMA_REVIEW.html,4,3,6,0,6,3,DEMOTE_NO_OVERLAP
